Scenario,Approach,parameter,Iteration,Country,Club,tag,EV,EV_previous_round,Max_Iteration,Bool
Scenario_D,Realistic_wo_china,qo,7,india,outside,non-producer,37.7170639038086,-38.3171463012695,7,yes
Scenario_D,Realistic_wi_china,qxw,7,newzealand,inside,non-producer,51.5690841674805,51.7273025512695,7,yes
Scenario_D,Diplomatic,qes,20,mozambique,inside,non-producer,-0.277527183294296,-0.345347315073013,20,yes
Scenario_D,Realistic_wo_china,qo,7,efta,outside,non-producer,-100.437866210938,-97.737678527832,7,yes
Scenario_D,Idealist,qxw,24,eastasia,inside,non-producer,-0.172745883464813,-7.06455564498901,24,yes
Scenario_D,Diplomatic,qo,24,bolivia,outside,producer,-2.62269616127014,-3360.58471679688,24,yes
Scenario_D,Diplomatic,qxw,24,canada,outside,non-producer,57.5243873596191,7.70427894592285,24,yes
Scenario_D,Idealist,qo,24,japan,outside,non-producer,-128.684020996094,-932.698303222656,24,yes
Scenario_D,Realistic_wo_china,qo,7,paraguay,outside,producer,-8.01873207092285,-6.49758005142212,7,yes
Scenario_D,Idealist,qxw,24,mena,inside,non-producer,-42.0647811889648,45.2348899841309,24,yes
Scenario_D,Diplomatic,qes,20,ghana,outside,producer,-64.0705718994141,-63.984790802002,20,yes
Scenario_D,Realistic_wo_china,qes,16,russia,outside,non-producer,56.6246528625488,122.238479614258,16,yes
Scenario_D,Idealist,qxw,24,malasya,inside,producer,63.5670280456543,53.9462280273438,24,yes
Scenario_D,Realistic_wi_china,qes,10,russia,outside,non-producer,173.613754272461,175.909133911133,10,yes
Scenario_D,Idealist,qxw,24,paraguay,outside,producer,-199.185684204102,-181.84245300293,24,yes
Scenario_D,Realistic_wo_china,qo,7,myanmar,outside,non-producer,-7.91879558563232,-4.2697696685791,7,yes
Scenario_D,Idealist,qo,24,peru,outside,producer,-229.882263183594,-5076.29296875,24,yes
Scenario_D,Idealist,qo,24,drc,outside,producer,-7.1833553314209,-13.4571113586426,24,yes
Scenario_D,Idealist,qo,24,southasia,inside,non-producer,4.69531345367432,-449.426086425781,24,yes
Scenario_D,Realistic_wo_china,qxw,7,peru,outside,producer,-71.0469284057617,-70.5575714111328,7,yes
Scenario_D,Idealist,qxw,24,ghana,outside,producer,-122.309425354004,-123.246429443359,24,yes
Scenario_D,Realistic_wo_china,qo,7,mexico,inside,non-producer,81.8330230712891,95.1365814208984,7,yes
Scenario_D,Diplomatic,qes,20,korea,outside,non-producer,457.795959472656,457.920471191406,20,yes
Scenario_D,Idealist,qes,24,korea,inside,non-producer,351.030059814453,461.780792236328,24,yes
Scenario_D,Realistic_wo_china,qo,7,korea,outside,non-producer,0.238071262836456,-9.58980178833008,7,yes
Scenario_D,Diplomatic,qo,24,angola,outside,producer,-3.00675439834595,-12.3100128173828,24,yes
Scenario_D,Diplomatic,qxw,24,bolivia,inside,producer,-5.16574382781982,-8.02282333374023,24,yes
Scenario_D,Diplomatic,qes,20,canada,inside,non-producer,64.2934951782227,65.2962112426758,20,yes
Scenario_D,Realistic_wi_china,qes,10,drc,outside,producer,0.353081285953522,1.68757748603821,10,yes
