"Country","Iteration","Scenario","Club","EV_previous_round","EV","tag","parameter","Approach","Boreal","Temperate","Tropical"
"angola",19,"Scenario_D","outside",-6.41817951202393,-3.57853031158447,"producer","qo","Realistic_wi_china",1092.13631507009,51.1884810402989,0
"angola",10,"Scenario_D","outside",-3.12420678138733,-2.179283618927,"producer","qo","Realistic_wi_china",4880.38932532071,333.057936280966,0
"angola",7,"Scenario_D","outside",-4.76638126373291,-2.179283618927,"producer","qo","Realistic_wi_china",4880.38932532071,333.057936280966,0
"angola",12,"Scenario_D","outside",-6.91357421875,-3.57853031158447,"producer","qo","Realistic_wi_china",1092.13631507009,51.1884810402989,0
"angola",4,"Scenario_D","outside",-2.179283618927,-3.36662793159485,"producer","qo","Realistic_wi_china",8447.68622517586,592.116454616189,0
"angola",1,"Scenario_D","outside",-0.492655992507935,-11.7634735107422,"producer","qo","Realistic_wi_china",17137.7812027931,1224.43103767001,0
"angola",20,"Scenario_D","outside",-3.57853031158447,-2.65540838241577,"producer","qo","Realistic_wi_china",6223.8400876522,431.683238828554,0
"angola",23,"Scenario_D","outside",-3.12420678138733,-6.58520030975342,"producer","qo","Realistic_wi_china",1704.2985111475,98.498110746732,0
"angola",16,"Scenario_D","outside",-3.12420678138733,-6.58520030975342,"producer","qo","Realistic_wi_china",1704.2985111475,98.498110746732,0
"angola",17,"Scenario_D","outside",-6.58520030975342,-2.179283618927,"producer","qo","Realistic_wi_china",4880.38932532071,333.057936280966,0
"angola",24,"Scenario_D","outside",-6.58520030975342,-2.179283618927,"producer","qo","Realistic_wi_china",4880.38932532071,333.057936280966,0
"angola",5,"Scenario_D","outside",-3.36662793159485,-2.179283618927,"producer","qo","Realistic_wi_china",4880.38932532071,333.057936280966,0
"angola",22,"Scenario_D","outside",-6.83452844619751,-3.12420678138733,"producer","qo","Realistic_wi_china",-210.91456990689,-44.4320619571954,0
"angola",18,"Scenario_D","outside",-2.179283618927,-6.41817951202393,"producer","qo","Realistic_wi_china",18261.3072991371,1306.15040659904,0
"angola",13,"Scenario_D","outside",-3.57853031158447,-2.65540838241577,"producer","qo","Realistic_wi_china",6223.8400876522,431.683238828554,0
"angola",9,"Scenario_D","outside",-6.83104658126831,-3.12420678138733,"producer","qo","Realistic_wi_china",-210.91456990689,-44.4320619571954,0
"angola",2,"Scenario_D","outside",-11.7634735107422,-2.75349831581116,"producer","qo","Realistic_wi_china",4764.83630388976,323.513865005225,0
"angola",14,"Scenario_D","outside",-2.65540838241577,-6.83452844619751,"producer","qo","Realistic_wi_china",19944.0345168113,1429.16202405467,0
"angola",6,"Scenario_D","outside",-2.179283618927,-4.76638126373291,"producer","qo","Realistic_wi_china",14406.0448408127,1025.93130245804,0
"angola",15,"Scenario_D","outside",-6.83452844619751,-3.12420678138733,"producer","qo","Realistic_wi_china",-210.91456990689,-44.4320619571954,0
"angola",0,"Scenario_D","outside",0,-0.492655992507935,"producer","qo","Realistic_wi_china",2749.09569323063,189.353740774096,0
"angola",11,"Scenario_D","outside",-2.179283618927,-6.91357421875,"producer","qo","Realistic_wi_china",18817.5503611565,1347.7656180039,0
"angola",8,"Scenario_D","outside",-2.179283618927,-6.83104658126831,"producer","qo","Realistic_wi_china",10323.3989030123,732.262076810002,0
"angola",3,"Scenario_D","outside",-2.75349831581116,-2.179283618927,"producer","qo","Realistic_wi_china",4880.38932532071,333.057936280966,0
"angola",21,"Scenario_D","outside",-2.65540838241577,-6.83452844619751,"producer","qo","Realistic_wi_china",19944.0345168113,1429.16202405467,0
"argentina",16,"Scenario_D","outside",120.903312683105,179.130569458008,"producer","qo","Realistic_wi_china",0,4690.18441438676,-345.073513686657
"argentina",0,"Scenario_D","outside",0,-3.72432470321655,"producer","qo","Realistic_wi_china",0,42.7835322916508,49.9558220617473
"argentina",2,"Scenario_D","outside",262.644836425781,86.4241485595703,"producer","qo","Realistic_wi_china",0,15079.4099569321,428.268104791642
"argentina",21,"Scenario_D","outside",46.1885986328125,153.912734985352,"producer","qo","Realistic_wi_china",0,22107.5077056885,582.310695201159
"argentina",15,"Scenario_D","outside",153.912734985352,120.903312683105,"producer","qo","Realistic_wi_china",0,12435.1138472557,170.701655559241
"argentina",4,"Scenario_D","outside",75.1040496826172,94.7364807128906,"producer","qo","Realistic_wi_china",0,14575.4301548004,407.496348023415
"argentina",1,"Scenario_D","outside",-3.72432470321655,262.644836425781,"producer","qo","Realistic_wi_china",0,15993.45266819,-88.4067080914975
"argentina",6,"Scenario_D","outside",75.1040496826172,158.368667602539,"producer","qo","Realistic_wi_china",0,23011.8509531021,571.863181889058
"argentina",14,"Scenario_D","outside",46.1885986328125,153.912734985352,"producer","qo","Realistic_wi_china",0,22107.5077056885,582.310695201159
"argentina",7,"Scenario_D","outside",158.368667602539,75.1040496826172,"producer","qo","Realistic_wi_china",0,12349.4604229927,363.986574113369
"argentina",10,"Scenario_D","outside",120.903312683105,75.1040496826172,"producer","qo","Realistic_wi_china",0,12349.4604229927,363.986574113369
"argentina",23,"Scenario_D","outside",120.903312683105,179.130569458008,"producer","qo","Realistic_wi_china",0,4690.18441438676,-345.073513686657
"argentina",13,"Scenario_D","outside",93.3370056152344,46.1885986328125,"producer","qo","Realistic_wi_china",0,8779.61623668671,320.860233157872
"argentina",8,"Scenario_D","outside",75.1040496826172,153.35498046875,"producer","qo","Realistic_wi_china",0,6529.36971187592,-120.793314650655
"argentina",24,"Scenario_D","outside",179.130569458008,75.1040496826172,"producer","qo","Realistic_wi_china",0,12349.4604229927,363.986574113369
"argentina",18,"Scenario_D","outside",75.1040496826172,186.590866088867,"producer","qo","Realistic_wi_china",0,26023.4129428863,623.769622296094
"argentina",5,"Scenario_D","outside",94.7364807128906,75.1040496826172,"producer","qo","Realistic_wi_china",0,12349.4604229927,363.986574113369
"argentina",9,"Scenario_D","outside",153.35498046875,120.903312683105,"producer","qo","Realistic_wi_china",0,12435.1138472557,170.701655559241
"argentina",20,"Scenario_D","outside",93.3370056152344,46.1885986328125,"producer","qo","Realistic_wi_china",0,8779.61623668671,320.860233157872
"argentina",17,"Scenario_D","outside",179.130569458008,75.1040496826172,"producer","qo","Realistic_wi_china",0,12349.4604229927,363.986574113369
"argentina",19,"Scenario_D","outside",186.590866088867,93.3370056152344,"producer","qo","Realistic_wi_china",0,8685.3421330452,116.288838908076
"argentina",11,"Scenario_D","outside",75.1040496826172,191.145919799805,"producer","qo","Realistic_wi_china",0,31766.6101455688,749.818794429302
"argentina",3,"Scenario_D","outside",86.4241485595703,75.1040496826172,"producer","qo","Realistic_wi_china",0,12349.4604229927,363.986574113369
"argentina",22,"Scenario_D","outside",153.912734985352,120.903312683105,"producer","qo","Realistic_wi_china",0,12435.1138472557,170.701655559241
